,pertanyaan,jawaban diharapkan,hasil jawaban,hasil tag
79,siapa pemilik keris panunggul naga?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'CD'], ['pemilik', 'NN'], ['keris', 'NN'], ['panunggul', 'NN'], ['naga', 'NN']]"
80,siapa yang meninggalkan mahkota binokasih?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'SC'], ['meninggalkan', 'VB'], ['mahkota', 'NN'], ['binokasih', 'NN']]"
81,siapa pemilik mahkota binokasih?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun,"[['siapa', 'CD'], ['pemilik', 'NN'], ['mahkota', 'NN'], ['binokasih', 'NN']]"
82,apa itu mahkota binokasih?,Mahkota Binokasih adalah mohkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran,"Mahkota Binokasih, Mahkota Binokasih adalah mahkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran","[['apa', 'WH'], ['mahkota', 'NN'], ['binokasih', 'NN']]"
83,Apa barang peninggalan prabu resi tajimalela?,Pedang Ki Mastak,Pedang Ki Mastak,"[['apa', 'WH'], ['barang', 'NN'], ['peninggalan', 'NN'], ['prabu', 'NN'], ['resi', 'NN'], ['tajimalela', 'NN']]"
84,siapa yang meninggalkan pedang ki mastak?,Prabu Resi Tajimalela,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela,"[['siapa', 'SC'], ['meninggalkan', 'VB'], ['pedang', 'NN'], ['ki', 'NN'], ['mastak', 'NN']]"
85,siapa pemilik pedang ki mastak?,Prabu Resi Tajimalela,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela,"[['siapa', 'CD'], ['pemilik', 'NN'], ['pedang', 'NN'], ['ki', 'NN'], ['mastak', 'NN']]"
86,siapa itu kandage lante?,"Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante)","Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante)","[['siapa', 'WH'], ['kandage', 'NN'], ['lante', 'NN']]"
87,apa itu kandage lante?,"semasa kejayaan Pajajaran, ada empat pejabat tinggi Pajajaran yang berasal dari Sumedang yaitu Mbah Jaya Perkasa, Nangann, Kodang Hapa, Terong Peot. Keempat orang ini mulanya mengabdi pada Kerajaan Pajajaran. Ketika Kerajaan Pajajaran runtuh, keempat pejabat tinggi ini diamanahkan untuk menyerahkan mahkota bernama Binokasih, dari Raja Pajajaran waktu itu (Raja Mulya Surya Kencana), kepada Prabu Geusan Ulun. Kemudian keempat petinggi kerajaan tadi atau Kandage Lante itu mengabdi kepada Prabu Geusan Ulun, diangkat sebagai panglima dan penasihat.","Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante), semasa kejayaan Pajajaran, ada empat pejabat tinggi Pajajaran yang berasal dari Sumedang yaitu Mbah Jaya Perkasa, Nangann, Kodang Hapa, Terong Peot. Keempat orang ini mulanya mengabdi pada Kerajaan Pajajaran. Ketika Kerajaan Pajajaran runtuh, keempat pejabat tinggi ini diamanahkan untuk menyerahkan mahkota bernama Binokasih, dari Raja Pajajaran waktu itu (Raja Mulya Surya Kencana), kepada Prabu Geusan Ulun. Kemudian keempat petinggi kerajaan tadi atau Kandage Lante itu mengabdi kepada Prabu Geusan Ulun, diangkat sebagai panglima dan penasihat.","[['apa', 'WH'], ['kandage', 'NN'], ['lante', 'NN']]"
88,siapa nama Mbah Jaya Perkasa?,Mbah Jaya Perkasa,Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu,"[['siapa', 'CD'], ['nama', 'NN'], ['mbah', 'NN'], ['jaya', 'NN'], ['perkasa', 'NN']]"
89,apa gelar Mbah Jaya Perkasa?,Batara Sang Hyang Hawu,"Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu, Batara Sang Hyang Hawu punya nama lain/gelar Batara Sang Hyang Hawu","[['apa', 'WH'], ['gelar', 'NN'], ['mbah', 'NN'], ['jaya', 'NN'], ['perkasa', 'NN']]"
90,Siapa nama Kodang Hapa?,Kodang Hapa,Kodang Hapa,"[['siapa', 'CD'], ['nama', 'NN'], ['kodang', 'NN'], ['hapa', 'NN']]"
91,Apa gelar Kodang Hapa?,Batara Sang Hyang Kodang Hapa,"Kodang Hapa, Batara Sang Hyang Kodang Hapa punya nama lain/gelar Batara Sang Hyang Kodang Hapa","[['apa', 'WH'], ['gelar', 'NN'], ['kodang', 'NN'], ['hapa', 'NN']]"
92,Siapa nama Nangann?,Nangann,Nangann punya nama lain/gelar Batara Dipati Wiradijaya,"[['siapa', 'CD'], ['nama', 'NN'], ['nangann', 'NN']]"
93,Apa gelar Nangann?,Batara Dipati Wiradijaya,"Nangann punya nama lain/gelar Batara Dipati Wiradijaya, Batara Dipati Wiradijaya punya nama lain/gelar Batara Dipati Wiradijaya","[['apa', 'WH'], ['gelar', 'FW'], ['nangann', 'NN']]"
94,Siapa nama Terong Peot?,Terong Peot,Terong Peot punya nama lain/gelar Batara Pancar Buana,"[['siapa', 'CD'], ['nama', 'NN'], ['terong', 'NN'], ['peot', 'NN']]"
95,Apa gelar Terong Peot?,Batara Pancar Buana,"Terong Peot punya nama lain/gelar Batara Pancar Buana, Batara Pancar Buana punya nama lain/gelar Batara Pancar Buana","[['apa', 'WH'], ['gelar', 'FW'], ['terong', 'NN'], ['peot', 'NN']]"
96,Siapa nama ratu kedua kerajaan sumedang larang?,Nyimas Ratu Patuakan,Nyimas Ratu Patuakan,"[['siapa', 'CD'], ['nama', 'NN'], ['ratu', 'NN'], ['kedua', 'CD'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
97,Dimana peninggalan-peninggalan Kerajaan Sumedang Larang disimpan?,"Peninggalan Kerajaan Sumedang Larang sekarang berada di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang.","Peninggalan Kerajaan Sumedang Larang sekarang berada di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang.","[['dimana', 'NN'], ['peninggalan', 'NN'], ['peninggalan', 'NN'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['disimpan', 'NN']]"
98,Bagaiama asal usul nama Sumedang larang?,"Batara Tuntang Buana bersabda ""Ingsun Medal Ingsun Madangan"" (aku lahir aku memberikan penerangan) yang sekarang dijadikan nama Sumedang","Batara Tuntang Buana bersabda ""Ingsun Medal Ingsun Madangan"" (aku lahir aku memberikan penerangan) yang sekarang dijadikan nama Sumedang","[['bagaiama', 'IN'], ['asal', 'NN'], ['usul', 'NN'], ['nama', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
